percorso,righe,parsing_ast,descrizione_docstring,classi_top_level,funzioni_top_level,import_top_level
BFF_DUST_55/CASE_DUST_FLUTTER_EMULATION/analyze_response.py,75,ok,Estimate frequency and exponential growth/decay from the coupled tip trace.,,main,__future__; argparse; csv; json; pathlib; numpy
BFF_DUST_55/CASE_DUST_FLUTTER_EMULATION/coupling_adapter.py,140,ok,preCICE 2.x adapter between the MBDyn nodal socket and DUST.,CouplingAdapter,,__future__; csv; pathlib; numpy; precice
BFF_DUST_55/CASE_DUST_FLUTTER_EMULATION/fix_vtu_xml.py,48,ok,Convert DUST raw-appended VTU files to portable inline-Base64 VTU.,,convert; main,__future__; base64; pathlib; re; struct
BFF_DUST_55/CASE_DUST_FLUTTER_EMULATION/mbdyn_interface.py,58,ok,Small MBDyn socket interface used by the local preCICE adapter.,MBDynInterface,,__future__; numpy; mbc_py_interface
BFF_DUST_55/CASE_DUST_FLUTTER_EMULATION/run_flutter_case.py,179,ok,Run one 3.00 s X-56 MBDyn-DUST open-loop flutter-emulation case.,,stop; prepare_geometry; make_inputs; export_pvd; parse_iterations; main,__future__; argparse; json; os; pathlib; shutil; subprocess; sys; tempfile; time; h5py; numpy
BFF_DUST_55/CASE_DUST_SMOKE/coupling_adapter.py,99,ok,preCICE 2.x adapter between the MBDyn nodal socket and DUST.,CouplingAdapter,,__future__; numpy; precice
BFF_DUST_55/CASE_DUST_SMOKE/create_aileron_animation.py,74,ok,Create a ParaView animation of the outer WF4 ailerons using DUST hinges.,,set_wf4_angle; main,pathlib; re; create_deflection_cases
BFF_DUST_55/CASE_DUST_SMOKE/create_deflection_cases.py,201,ok,Create static DUST hinge-deflection visualization cases from the current mesh.,,apply_current_discretization; prescribed_mesh; portable_vtu; create_case; main,__future__; base64; pathlib; re; shutil; struct; subprocess
BFF_DUST_55/CASE_DUST_SMOKE/create_surface_sequence.py,93,ok,Animate paired left/right WF surfaces in the requested 4-2-3-1 order.,,surface_tags; surface_label; set_pair_angle; main,pathlib; re; create_deflection_cases
BFF_DUST_55/CASE_DUST_SMOKE/export_mesh_vtu.py,72,ok,Export the preprocessed DUST 3-D panel mesh as a portable ASCII VTU.,,values; main,pathlib; h5py; numpy
BFF_DUST_55/CASE_DUST_SMOKE/fix_vtu_xml.py,48,ok,Convert DUST raw-appended VTU files to portable inline-Base64 VTU.,,convert; main,__future__; base64; pathlib; re; struct
BFF_DUST_55/CASE_DUST_SMOKE/mbdyn_interface.py,58,ok,Small MBDyn socket interface used by the local preCICE adapter.,MBDynInterface,,__future__; numpy; mbc_py_interface
BFF_DUST_55/CASE_DUST_SMOKE/run_smoke.py,153,ok,Run only the 0.20 s X-56 MBDyn-DUST 3-D-panel smoke test.,,stop; prepare_geometry; make_inputs; export_pvd; parse_iterations; main,__future__; argparse; json; os; pathlib; shutil; subprocess; sys; tempfile; time; h5py; numpy
BFF_DUST_55/adapters/coupling_adapter.py,179,ok,preCICE 2.x adapter between the MBDyn nodal socket and DUST.,CouplingAdapter,,__future__; csv; pathlib; numpy; precice
BFF_DUST_55/adapters/mbdyn_interface.py,58,ok,Small MBDyn socket interface used by the local preCICE adapter.,MBDynInterface,,__future__; numpy; mbc_py_interface
BFF_DUST_55/run_case.py,392,ok,Portable CHECK/SMOKE/PRODUCTION launcher for the X-56A DUST case.,,load_machine_env; resolve_executable; detect_precice_major; set_python_paths; solver_environment; print_resources; write_dust_pre; generate_geometry; make_inputs; print_modes; portable_path_audit; production_blockers; probe_mbdyn_parse; probe_dust_parse; check_only; stop; postprocess; coupled_run; main,__future__; argparse; csv; importlib.util; json; os; pathlib; shutil; socket; subprocess; sys; tempfile; time; h5py; numpy
BFF_DUST_55/tools/analyze_control_effectiveness.py,37,ok,Compute central-difference DUST effectiveness after five rigid cases exist.,,main,__future__; csv; json; pathlib
BFF_DUST_55/tools/audit_mesh.py,194,ok,"Generate DUST meshes, audit geometry, and export the FINE mesh to VTU.",,executable; build; polygon_metrics; quantized_rows; audit; write_vtu; write_nodes_vtu; main,__future__; collections; json; os; pathlib; shutil; subprocess; h5py; numpy
BFF_DUST_55/tools/configure_meshes.py,46,ok,Rebuild the three committed discretizations from the common topology.,,main,__future__; pathlib; re
BFF_DUST_55/tools/extract_mbdyn_text.py,109,ok,Consolidate accepted MBDyn text states and preCICE diagnostics into CSV.,,blocks; main,__future__; argparse; csv; pathlib
BFF_DUST_55/tools/fix_vtu_xml.py,42,ok,Convert DUST raw-appended VTU files to portable inline-Base64 VTU.,,convert; main,__future__; argparse; base64; pathlib; re; struct
BFF_DUST_55/tools/inject_dust_surface_coordinates.py,58,ok,Replace dust_post's fixed surface coordinates with saved coupled DUST geometry.,,inject; main,__future__; argparse; base64; pathlib; re; struct; h5py; numpy
BFF_maneuver_envelope/analyse_dive_pullup.py,258,ok,Analyze balanced dive--pull-up runs and their paired BFF response.,,discover; flight_metrics; onset_rows; analyze; plot_summary; plot_cases; main,__future__; argparse; csv; json; os; collections; pathlib; matplotlib; matplotlib.pyplot; numpy; netCDF4; scipy.spatial.transform; analyse_time_domain_pairs; compare_paired_response; maneuver_case
BFF_maneuver_envelope/analyse_time_domain_pairs.py,289,ok,Compare steady and maneuver BFF responses from paired MBDyn trajectories.,,detrended_harmonic_amplitude; read_symmetric_tip; paired_tip_delta; read_surface_angle; paired_body_flap_leakage; case_metadata; constant; trajectory_metrics; discover; main,__future__; argparse; csv; json; math; re; sys; pathlib; numpy; netCDF4; scipy.signal; scipy.spatial.transform; run_case; compare_paired_response
BFF_maneuver_envelope/compare_paired_response.py,138,ok,Compare steady and maneuver BFF growth after excited-shadow subtraction.,,read_mode7; paired_delta; growth_metrics; parse_args; main,__future__; argparse; json; os; pathlib; matplotlib; matplotlib.pyplot; numpy; netCDF4; scipy.signal
BFF_maneuver_envelope/maneuver_case.py,459,ok,Render and run one time-domain maneuver X-56 BFF identification case.,ManeuverPoint,model_revision; _load_baseline_module; baseline_module; _replace_real; _replace_pid_setpoint; resolved_timing; render_point; run_point; parse_args; main,__future__; argparse; importlib.util; json; math; re; subprocess; sys; dataclasses; pathlib; numpy
BFF_maneuver_envelope/run_dive_pullup_sweep.py,163,ok,Plan or run the focused dive--pull-up BFF campaign (no run by default).,,write_manifest; execute_point; command_for_class; build_points; parse_args; main,__future__; argparse; csv; json; math; subprocess; sys; concurrent.futures; dataclasses; pathlib; maneuver_case
BFF_open_loop/aero_static_validation.py,216,ok,Run rigid MBDyn X-56 polar points and compare them with NASTRAN.,,replace_constant; prepare_case; integrate_aerodynamics; nastran_polar; fit_slope; plot_results; main,__future__; argparse; json; math; os; re; shutil; subprocess; pathlib; matplotlib; matplotlib.pyplot; numpy; netCDF4; analyse_open_loop
BFF_open_loop/analyse_open_loop.py,1017,ok,Postprocess true open-loop X-56 longitudinal free responses.,,arr; model_constants; filter_first_order; sample_and_hold; detrended_harmonic_amplitude; surface_kinematics; aerodynamic_spans; point_force_moment_residual; identify_swb1_from_fem; fit_damped_sine; reconstruct_commands; write_window_csv; write_pole_tables; build_trim_check; make_identification_plots; analyze_case; make_case_plots; make_test_dashboard; write_global_plots; main,__future__; argparse; csv; json; math; os; re; functools; pathlib; matplotlib; matplotlib.pyplot; numpy; netCDF4; scipy.optimize; scipy.signal; scipy.spatial.transform; modal_identification; nastran_flutter_reference
BFF_open_loop/build_x56_c81.py,124,ok,Build the effective X-56 C81 used by the strip-aerodynamic model.,Table,fields; read_c81; number; line; write_c81; main,__future__; argparse; dataclasses; pathlib
BFF_open_loop/dust_static_validation.py,218,ok,Run a wake-developed rigid X-56 DUST polar on the available FINE mesh.,,fine_rigid_mesh; write_case; run; parse_average; main,__future__; argparse; json; math; os; re; shutil; subprocess; pathlib; numpy
BFF_open_loop/modal_identification.py,372,ok,Frequency-agnostic multimodal Matrix Pencil identification utilities.,,detrend_variant; matrix_pencil; extract_pole_rows; _near; cluster_poles; cluster_distance; match_bff_candidate; match_short_period_candidate; identify_multimodal,__future__; math; collections; numpy
BFF_open_loop/nastran_flutter_reference.py,137,ok,Extract the released X-56A SOL 145 flutter branch used as BFF reference.,,parse_flutter_point; zero_crossing; interpolate_at_velocity; write_reference_files; main,__future__; argparse; csv; json; re; pathlib
